fecha;hora;sexo;emocion;porcentaje;curso;grado;materia;temperatura
26-08-2025;0:01:58;Hombre;neutral;99.74;media;3-medio;filosofia;14.3
26-08-2025;0:01:58;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:58;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:01:58;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:01;Hombre;feliz;96.96;media;3-medio;filosofia;14.3
26-08-2025;0:02:01;Hombre;triste;0.17;media;3-medio;filosofia;14.3
26-08-2025;0:02:01;Hombre;enojado;0.05;media;3-medio;filosofia;14.3
26-08-2025;0:02:01;Hombre;neutral;2.14;media;3-medio;filosofia;14.3
26-08-2025;0:02:01;Hombre;sorpresa;0.67;media;3-medio;filosofia;14.3
26-08-2025;0:02:01;Hombre;miedo;0.02;media;3-medio;filosofia;14.3
26-08-2025;0:02:01;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:04;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:04;Hombre;triste;0.19;media;3-medio;filosofia;14.3
26-08-2025;0:02:04;Hombre;enojado;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:04;Hombre;neutral;99.81;media;3-medio;filosofia;14.3
26-08-2025;0:02:04;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:04;Hombre;miedo;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:04;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:05;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:05;Hombre;triste;8.19;media;3-medio;filosofia;14.3
26-08-2025;0:02:05;Hombre;enojado;0.1;media;3-medio;filosofia;14.3
26-08-2025;0:02:05;Hombre;neutral;91.52;media;3-medio;filosofia;14.3
26-08-2025;0:02:05;Hombre;sorpresa;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:05;Hombre;miedo;0.19;media;3-medio;filosofia;14.3
26-08-2025;0:02:05;Hombre;asco;0.0;media;3-medio;filosofia;14.3
26-08-2025;0:02:06;Hombre;feliz;0.0;media;3-medio;filosofia;14.3
